节点ID,管网节点,标准化节点名,匹配城市,匹配省份,节点经度_WGS84,节点纬度_WGS84,坐标来源,匹配置信度,匹配说明,连接管段数,节点度,涉及管道,连接管段ID,相邻节点
N014,信阳,信阳,信阳市,河南省,114.0851703,32.15058474,直接匹配城市名,高,节点名称与城市点位表一致,2,2,武汉-信阳成品油管道；驻信管道,S068；S138,武汉；驻马店
N015,克拉玛依,克拉玛依,克拉玛依市,新疆维吾尔自治区,84.88680126,45.57908248,直接匹配城市名,高,节点名称与城市点位表一致,2,1,克拉玛依-乌鲁木齐成品油管道；克拉玛依-乌鲁木齐成品油管道（复线）,S010；S011,王家沟
N016,兖州,兖州,济宁市,山东省,116.5836833,35.41651785,别名映射至地级市,高,兖州区映射至济宁,2,2,大港-济南-枣庄成品油管道,S020；S022,济南；肥城
N017,六安,六安,六安市,安徽省,116.5092677,31.73197266,直接匹配城市名,高,节点名称与城市点位表一致,1,1,合六支线,S091,合肥
N018,兰州,兰州,兰州市,甘肃省,103.8314138,36.06163277,直接匹配城市名,高,节点名称与城市点位表一致,3,3,兰成渝成品油管道；兰郑长成品油管道；西部成品油管道,S006；S012；S034,咸阳；成都；武威
N019,兴闽,兴闽,福州市,福建省,119.2915964,26.07737918,别名映射至地级市,中,兴闽末站按福建北线终点映射至福州,1,1,福建成品油管道（北线）,S107,泉港
N020,包头,包头,包头市,内蒙古自治区,109.9479759,40.62075692,直接匹配城市名,高,节点名称与城市点位表一致,2,2,呼和浩特-包头-鄂尔多斯成品油管道,S024；S025,呼和浩特；鄂尔多斯
N021,北沙,北沙,珠海市,广东省,113.5728911,22.2745396,别名映射至地级市,中,北沙按珠三角管道珠海侧节点映射至珠海,1,1,珠三角成品油管网,S063,珠海
N022,南京(南京,南京,南京市,江苏省,118.7902705,32.06154044,清洗后匹配城市名,高,清洗节点名：南京,1,1,苏南成品油管道,S098,苏州(苏州
N023,南京(扬子,南京,南京市,江苏省,118.7902705,32.06154044,清洗后匹配城市名,高,清洗节点名：南京,3,3,苏北成品油管道,S095；S096；S097,徐州(新沂；泰州(泰州；盐城(盐城
N024,南宁,南宁,南宁市,广西壮族自治区,108.3621636,22.82027814,直接匹配城市名,高,节点名称与城市点位表一致,5,5,西南成品油管网（南线）；钦南柳成品油管道,S043；S044；S053；S054；S056,东海岛；柳州；钦州；长坡；黎塘
N025,南昌,南昌,南昌市,江西省,115.8530507,28.68633588,直接匹配城市名,高,节点名称与城市点位表一致,2,2,九江-赣州成品油管道,S081；S082,九江；吉安长塘
N026,南沙,南沙,广州市,广东省,113.2578297,23.1332448,别名映射至地级市,高,南沙区映射至广州,3,3,珠三角成品油管网,S060；S062；S064,南海；斗门；黄埔
N027,南海,南海,佛山市,广东省,113.1135059,23.02428458,别名映射至地级市,高,南海区映射至佛山,1,1,珠三角成品油管网,S060,南沙
N028,南疆(天津,南疆,天津市,天津市,117.2614223,39.13515139,别名映射至地级市,中,天津南疆站映射至天津,1,1,南武管道,S139,武清
N029,合肥,合肥,合肥市,安徽省,117.2197334,31.82313855,直接匹配城市名,高,节点名称与城市点位表一致,4,3,合六支线；安庆-亳州成品油管道；安庆-合肥成品油管道,S086；S087；S090；S091,六安；安庆；淮南
N030,吉安长塘,吉安长塘,吉安市,江西省,114.9619304,27.09470019,别名映射至地级市,高,吉安长塘站映射至吉安,2,2,九江-赣州成品油管道,S082；S083,南昌；樟树
N031,吉林,吉林,吉林市,吉林省,126.549541,43.83796639,直接匹配城市名,高,节点名称与城市点位表一致,1,1,吉林石化-长春成品油管道,S033,长春
N032,呼和浩特,呼和浩特,呼和浩特市,内蒙古自治区,111.7415103,40.84127836,直接匹配城市名,高,节点名称与城市点位表一致,1,1,呼和浩特-包头-鄂尔多斯成品油管道,S024,包头
N033,咸阳,咸阳,咸阳市,陕西省,108.7047772,34.3303351,直接匹配城市名,高,节点名称与城市点位表一致,2,2,兰郑长成品油管道,S012；S013,兰州；郑州
N034,哈密,哈密,哈密市,新疆维吾尔自治区,93.51362048,42.81802454,直接匹配城市名,高,节点名称与城市点位表一致,2,2,西部成品油管道,S001；S002,乌鲁木齐；柳园
N035,嘉兴(陈山,嘉兴,嘉兴市,浙江省,120.7489996,30.74856427,清洗后匹配城市名,高,清洗节点名：嘉兴,2,2,浙苏成品油管道,S093；S094,湖州(湖州；苏州(苏州
N036,固安,固安,廊坊市,河北省,116.6776883,39.53722851,别名映射至地级市,高,固安县映射至廊坊,2,2,抚顺-锦州-郑州成品油管道,S029；S030,保定；锦州
N037,大港,大港,天津市,天津市,117.2614223,39.13515139,别名映射至地级市,高,天津大港站映射至天津,1,1,大港-济南-枣庄成品油管道,S016,沧州
N038,大理,大理,大理白族自治州,云南省,100.2621213,25.60771126,别名映射至地级市,高,大理节点映射至大理州,3,3,云南成品油管网（安保线）；西南成品油管网（南线）,S036；S037；S055,保山；安宁；长坡
N039,大鹏湾,大鹏湾,深圳市,广东省,114.0548095,22.54760649,别名映射至地级市,中,深圳大鹏湾节点映射至深圳,1,1,珠三角成品油管网,S066,妈湾
N040,太原,太原,太原市,山西省,112.5426953,37.87098243,直接匹配城市名,高,节点名称与城市点位表一致,1,1,石太管道,S132,晋中
N041,妈湾,妈湾,深圳市,广东省,114.0548095,22.54760649,别名映射至地级市,中,深圳妈湾节点映射至深圳,1,1,珠三角成品油管网,S066,大鹏湾
N042,娄底,娄底,娄底市,湖南省,111.990876,27.70083635,直接匹配城市名,高,节点名称与城市点位表一致,1,1,湘娄支线,S079,湘潭
N043,宁海,宁海,宁波市,浙江省,121.6219554,29.8607673,别名映射至地级市,高,宁海县映射至宁波,2,2,甬台温成品油管道,S103；S104,临海；算山
N044,安宁,安宁,昆明市,云南省,102.7432509,25.08100417,别名映射至地级市,高,安宁市映射至昆明,3,3,云南成品油管网（安保线）；云南成品油管网（安曲线）；云南成品油管网（安蒙线）,S036；S038；S040,大理；寻甸；玉溪
N045,安庆,安庆,安庆市,安徽省,117.107568,30.53495975,直接匹配城市名,高,节点名称与城市点位表一致,2,1,安庆-亳州成品油管道；安庆-合肥成品油管道,S086；S090,合肥
N046,宿州,宿州,宿州市,安徽省,116.9588379,33.64921788,直接匹配城市名,高,节点名称与城市点位表一致,1,1,鲁皖一期管道,S116,徐州
N047,寻甸,寻甸,昆明市,云南省,102.7432509,25.08100417,别名映射至地级市,高,寻甸县映射至昆明,3,3,云南成品油管网（安曲线）,S040；S041；S042,安宁；昆明；曲靖
N048,巩义,巩义,郑州市,河南省,113.6193176,34.74752068,别名映射至地级市,高,巩义市映射至郑州,2,2,洛驻管道,S133；S134,洛阳；郑州
N049,巴彦淖尔,巴彦淖尔,巴彦淖尔市,内蒙古自治区,107.3813318,40.7431593,直接匹配城市名,高,节点名称与城市点位表一致,1,1,银巴线,S021,银川
N050,广水,广水,随州市,湖北省,113.3761098,31.69215886,别名映射至地级市,高,广水市映射至随州,1,1,156支线,S069,广水武胜关镇
N051,广水武胜关镇,广水武胜关镇,随州市,湖北省,113.3761098,31.69215886,别名映射至地级市,中,武胜关镇映射至随州,1,1,156支线,S069,广水
N052,张掖,张掖,张掖市,甘肃省,100.4482023,38.92467819,直接匹配城市名,高,节点名称与城市点位表一致,2,2,西部成品油管道,S004；S005,武威；酒泉
N053,徐州,徐州,徐州市,江苏省,117.2749121,34.20440827,直接匹配城市名,高,节点名称与城市点位表一致,2,2,鲁皖一期管道,S115；S116,宿州；枣庄
N054,徐州(新沂,徐州,徐州市,江苏省,117.2749121,34.20440827,清洗后匹配城市名,高,清洗节点名：徐州,1,1,苏北成品油管道,S096,南京(扬子
N055,德州,德州,德州市,山东省,116.3499607,37.4368547,直接匹配城市名,高,节点名称与城市点位表一致,2,2,大港-济南-枣庄成品油管道,S017；S018,沧州；济南
N056,惠州,惠州,惠州市,广东省,114.4106386,23.11487488,直接匹配城市名,高,节点名称与城市点位表一致,2,2,珠三角成品油管网,S065；S067,梅州；黄埔
N057,成都,成都,成都市,四川省,104.0385743,30.69284828,直接匹配城市名,高,节点名称与城市点位表一致,2,2,兰成渝成品油管道,S034；S035,兰州；重庆
N058,抚顺,抚顺,抚顺市,辽宁省,123.9514419,41.87872444,直接匹配城市名,高,节点名称与城市点位表一致,1,1,抚顺-锦州-郑州成品油管道,S026,辽阳
N059,拉萨,拉萨,拉萨市,西藏自治区,91.17069453,29.65619389,直接匹配城市名,高,节点名称与城市点位表一致,1,1,格拉成品油管道,S140,格尔木
N060,斗门,斗门,珠海市,广东省,113.5728911,22.2745396,别名映射至地级市,高,斗门区映射至珠海,1,1,珠三角成品油管网,S062,南沙
N061,新乡,新乡,新乡市,河南省,113.9183294,35.30446704,直接匹配城市名,高,节点名称与城市点位表一致,2,2,鲁皖二期管道（汤郑支线）,S124；S125,汤阴；郑州
N062,昆东,昆东,昆明市,云南省,102.7432509,25.08100417,别名映射至地级市,中,昆东节点映射至昆明,1,1,西南成品油管网（南线）,S058,秋田冲
N063,昆明,昆明,昆明市,云南省,102.7432509,25.08100417,直接匹配城市名,高,节点名称与城市点位表一致,1,1,云南成品油管网（安曲线）,S042,寻甸
N064,晋中,晋中,晋中市,山西省,112.7446161,37.68567283,直接匹配城市名,高,节点名称与城市点位表一致,2,2,石太管道,S131；S132,太原；阳泉
N065,曲阜,曲阜,济宁市,山东省,116.5836833,35.41651785,别名映射至地级市,高,曲阜市映射至济宁,3,3,鲁皖一期管道,S113；S114；S117,枣庄；泰安；济宁
N066,曲靖,曲靖,曲靖市,云南省,103.7914451,25.49347973,直接匹配城市名,高,节点名称与城市点位表一致,3,3,云南成品油管网（安曲线）；西南成品油管网（北线）；西南成品油管网（南线）,S041；S048；S057,寻甸；贵阳；长坡
N067,枣庄,枣庄,枣庄市,山东省,117.3160283,34.81395871,直接匹配城市名,高,节点名称与城市点位表一致,4,4,大港-济南-枣庄成品油管道；鲁皖一期管道,S023；S114；S115；S118,临沂；徐州；曲阜；肥城
N068,柳园,柳园,酒泉市,甘肃省,98.49115772,39.73039911,别名映射至地级市,中,柳园镇映射至酒泉,2,2,西部成品油管道,S002；S003,哈密；酒泉
N069,柳州,柳州,柳州市,广西壮族自治区,109.4257429,24.32828748,直接匹配城市名,高,节点名称与城市点位表一致,5,5,西南成品油管网（北线）；钦南柳成品油管道,S044；S046；S047；S050；S052,南宁；柳库；桂林；茂名；贵阳
N070,柳库,柳库,柳州市,广西壮族自治区,109.4257429,24.32828748,别名映射至地级市,中,柳库按柳州油库/支线节点映射至柳州,1,1,西南成品油管网（北线）,S050,柳州
N071,株洲,株洲,株洲市,湖南省,113.1266032,27.83380795,直接匹配城市名,高,节点名称与城市点位表一致,1,1,湘株支线,S080,湘潭
N072,格尔木,格尔木,海西蒙古族藏族自治州,青海省,97.36903221,37.37652179,别名映射至地级市,中,格尔木市映射至海西州,1,1,格拉成品油管道,S140,拉萨
N073,桂林,桂林,桂林市,广西壮族自治区,110.2833245,25.27690019,直接匹配城市名,高,节点名称与城市点位表一致,1,1,西南成品油管网（北线）,S052,柳州
N074,桐庐,桐庐,杭州市,浙江省,120.2048484,30.24977957,别名映射至地级市,高,桐庐县映射至杭州,1,1,浙赣成品油管道,S101,诸暨
N075,梅州,梅州,梅州市,广东省,116.1160706,24.29108064,直接匹配城市名,高,节点名称与城市点位表一致,1,1,珠三角成品油管网,S067,惠州
N076,樟树,樟树,宜春市,江西省,114.4123745,27.81877183,别名映射至地级市,高,樟树市映射至宜春,4,4,上饶-樟树成品油管道；九江-赣州成品油管道；浙赣成品油管道,S083；S084；S085；S100,上饶；吉安长塘；赣州；龙游
N077,武威,武威,武威市,甘肃省,102.63634,37.92858453,直接匹配城市名,高,节点名称与城市点位表一致,2,2,西部成品油管道,S005；S006,兰州；张掖
N078,武汉,武汉,武汉市,湖北省,114.3012374,30.59713291,直接匹配城市名,高,节点名称与城市点位表一致,3,3,兰郑长成品油管道；武汉-信阳成品油管道,S014；S015；S068,信阳；郑州；长沙
N079,武清,武清,天津市,天津市,117.2614223,39.13515139,别名映射至地级市,高,武清区映射至天津,1,1,南武管道,S139,南疆(天津
N080,江津,江津,重庆市,重庆市,106.5467371,29.56659842,别名映射至地级市,高,江津区映射至重庆,1,1,西南成品油管网（北线）,S049,重庆
N081,江门,江门,江门市,广东省,113.0740716,22.58145271,直接匹配城市名,高,节点名称与城市点位表一致,1,1,珠三角成品油管网,S059,茂名
N082,汤阴,汤阴,安阳市,河南省,114.3583007,36.09691222,别名映射至地级市,高,汤阴县映射至安阳,3,3,鲁皖二期管道（汤石支线）；鲁皖二期管道（汤郑支线）；鲁皖二期管道（西线）,S123；S124；S126,新乡；濮阳；邯郸
N083,汨罗,汨罗,岳阳市,湖南省,113.260805,29.47623236,别名映射至地级市,高,汨罗市映射至岳阳,2,2,长岭-郴州成品油管道,S073；S074,七里山；长沙
N084,沧州,沧州,沧州市,河北省,116.855601,38.31116389,直接匹配城市名,高,节点名称与城市点位表一致,2,2,大港-济南-枣庄成品油管道,S016；S017,大港；德州
N085,泉港,泉港,泉州市,福建省,118.6751351,24.87843187,别名映射至地级市,高,泉港区映射至泉州,3,3,福建成品油管道（北线）；福建成品油管道（南线）,S107；S108；S109,东孚；兴闽；石湖山
N086,泰安,泰安,泰安市,山东省,117.0815513,36.20000913,直接匹配城市名,高,节点名称与城市点位表一致,2,2,鲁皖一期管道,S112；S113,曲阜；济南
N087,泰州(泰州,泰州,泰州市,江苏省,119.915306,32.45511081,清洗后匹配城市名,高,清洗节点名：泰州,1,1,苏北成品油管道,S095,南京(扬子
N088,洛阳,洛阳,洛阳市,河南省,112.402798,34.64229511,直接匹配城市名,高,节点名称与城市点位表一致,1,1,洛驻管道,S133,巩义
N089,济南,济南,济南市,山东省,116.9954885,36.64792998,直接匹配城市名,高,节点名称与城市点位表一致,8,7,大港-济南-枣庄成品油管道；鲁皖一期管道；鲁皖二期管道（东线）；鲁皖二期管道（西线）,S018；S019；S019；S020；S111；S112；S120；S121,兖州；德州；泰安；济南；淄博；潍坊；聊城
N090,济宁,济宁,济宁市,山东省,116.5836833,35.41651785,直接匹配城市名,高,节点名称与城市点位表一致,1,1,鲁皖一期管道,S117,曲阜
N091,淄博,淄博,淄博市,山东省,118.050415,36.81483572,直接匹配城市名,高,节点名称与城市点位表一致,2,2,鲁皖一期管道,S110；S111,济南；齐鲁
N092,淮南,淮南,淮南市,安徽省,117.0131142,32.58738167,直接匹配城市名,高,节点名称与城市点位表一致,3,3,安庆-亳州成品油管道；淮蚌支线,S087；S088；S092,合肥；蚌埠；阜阳
N093,湖州(湖州,湖州,湖州市,浙江省,120.0792982,30.8934637,清洗后匹配城市名,高,清洗节点名：湖州,1,1,浙苏成品油管道,S093,嘉兴(陈山
N094,湘潭,湘潭,湘潭市,湖南省,112.9385458,27.83333305,直接匹配城市名,高,节点名称与城市点位表一致,4,4,湘娄支线；湘株支线；长岭-郴州成品油管道,S075；S076；S079；S080,娄底；株洲；衡阳；长沙
N095,湛江,湛江,湛江市,广东省,110.3828201,21.26187491,直接匹配城市名,高,节点名称与城市点位表一致,1,1,西南成品油管网（北线）,S045,茂名
N096,漯河,漯河,漯河市,河南省,114.012047,33.58330496,直接匹配城市名,高,节点名称与城市点位表一致,2,2,洛驻管道,S136；S137,许昌；驻马店
N097,潍坊,潍坊,潍坊市,山东省,119.1535384,36.70714657,直接匹配城市名,高,节点名称与城市点位表一致,2,2,鲁皖二期管道（东线）,S119；S120,济南；青岛
N098,濮阳,濮阳,濮阳市,河南省,115.0236155,35.76426442,直接匹配城市名,高,节点名称与城市点位表一致,2,2,鲁皖二期管道（西线）,S122；S123,汤阴；聊城
N099,灵昆,灵昆,温州市,浙江省,120.6794261,28.01154027,别名映射至地级市,中,灵昆站映射至温州,2,2,甬台温成品油管道,S105；S106,临海；瑞安
N100,独山子,独山子,克拉玛依市,新疆维吾尔自治区,84.88680126,45.57908248,别名映射至地级市,高,独山子区映射至克拉玛依,2,2,独山子-703泵站-乌鲁木齐成品油管道；独山子-乌鲁木齐成品油管道,S007；S009,703；王家沟
N101,玉溪,玉溪,玉溪市,云南省,102.5258923,24.35033692,直接匹配城市名,高,节点名称与城市点位表一致,2,2,云南成品油管网（安蒙线）,S038；S039,安宁；蒙自
N102,王家沟,王家沟,乌鲁木齐市,新疆维吾尔自治区,87.61399479,43.82418589,别名映射至地级市,中,王家沟站按线路终点映射至乌鲁木齐,3,2,克拉玛依-乌鲁木齐成品油管道；克拉玛依-乌鲁木齐成品油管道（复线）；独山子-乌鲁木齐成品油管道,S009；S010；S011,克拉玛依；独山子
N103,珠海,珠海,珠海市,广东省,113.5728911,22.2745396,直接匹配城市名,高,节点名称与城市点位表一致,1,1,珠三角成品油管网,S063,北沙
N104,瑞安,瑞安,温州市,浙江省,120.6794261,28.01154027,别名映射至地级市,高,瑞安市映射至温州,1,1,甬台温成品油管道,S106,灵昆
N105,盐城(盐城,盐城,盐城市,江苏省,120.1563009,33.34840987,清洗后匹配城市名,高,清洗节点名：盐城,1,1,苏北成品油管道,S097,南京(扬子
N106,石家庄,石家庄,石家庄市,河北省,114.5089353,38.04183339,直接匹配城市名,高,节点名称与城市点位表一致,2,2,石太管道；鲁皖二期管道（汤石支线）,S128；S129,邢台；高庄
N107,石湖山,石湖山,厦门市,福建省,118.0810222,24.48114183,别名映射至地级市,中,厦门石湖山站映射至厦门,1,1,福建成品油管道（南线）,S109,泉港
N108,秋田冲,秋田冲,昆明市,云南省,102.7432509,25.08100417,别名映射至地级市,中,秋田冲节点按云南管网昆明侧节点映射至昆明,1,1,西南成品油管网（南线）,S058,昆东
N109,简阳,简阳,成都市,四川省,104.0385743,30.69284828,别名映射至地级市,高,简阳市映射至成都,1,1,西南成品油管网（北线）,S051,贵阳
N110,算山,算山,宁波市,浙江省,121.6219554,29.8607673,别名映射至地级市,中,算山首站按甬台温/浙赣线路起点映射至宁波,2,2,浙赣成品油管道；甬台温成品油管道,S099；S103,宁海；龙游
N111,绍兴,绍兴,绍兴市,浙江省,120.5800044,30.05145821,直接匹配城市名,高,节点名称与城市点位表一致,1,1,绍杭成品油管道,S102,萧山
N112,耒阳,耒阳,衡阳市,湖南省,112.5664064,26.89725267,别名映射至地级市,高,耒阳市映射至衡阳,2,2,长岭-郴州成品油管道,S077；S078,衡阳；郴州
N113,聊城,聊城,聊城市,山东省,115.9801841,36.45418762,直接匹配城市名,高,节点名称与城市点位表一致,2,2,鲁皖二期管道（西线）,S121；S122,济南；濮阳
N114,肥城,肥城,泰安市,山东省,117.0815513,36.20000913,别名映射至地级市,高,肥城市映射至泰安,2,2,大港-济南-枣庄成品油管道,S022；S023,兖州；枣庄
N115,花都,花都,广州市,广东省,113.2578297,23.1332448,别名映射至地级市,高,花都区映射至广州,1,1,珠三角成品油管网,S061,三水
N116,苏州(苏州,苏州,苏州市,江苏省,120.581097,31.3019128,清洗后匹配城市名,高,清洗节点名：苏州,2,2,浙苏成品油管道；苏南成品油管道,S094；S098,南京(南京；嘉兴(陈山
N117,茂名,茂名,茂名市,广东省,110.9216638,21.66642469,直接匹配城市名,高,节点名称与城市点位表一致,3,3,珠三角成品油管网；西南成品油管网（北线）,S045；S046；S059,柳州；江门；湛江
N118,荆州,荆州,荆州市,湖北省,112.2348628,30.33970576,直接匹配城市名,高,节点名称与城市点位表一致,1,1,荆门-荆州成品油管道,S071,荆门
N119,荆门,荆门,荆门市,湖北省,112.1931881,31.03762742,直接匹配城市名,高,节点名称与城市点位表一致,2,2,荆门-荆州成品油管道；荆门-襄阳成品油管道,S070；S071,荆州；襄阳
N120,萧山,萧山,杭州市,浙江省,120.2048484,30.24977957,别名映射至地级市,高,萧山区映射至杭州,1,1,绍杭成品油管道,S102,绍兴
N121,蒙自,蒙自,红河哈尼族彝族自治州,云南省,103.3740373,23.36579148,别名映射至地级市,高,蒙自市映射至红河州,1,1,云南成品油管网（安蒙线）,S039,玉溪
N122,蚌埠,蚌埠,蚌埠市,安徽省,117.379653,32.91909899,直接匹配城市名,高,节点名称与城市点位表一致,1,1,淮蚌支线,S092,淮南
N123,衡阳,衡阳,衡阳市,湖南省,112.5664064,26.89725267,直接匹配城市名,高,节点名称与城市点位表一致,2,2,长岭-郴州成品油管道,S076；S077,湘潭；耒阳
N124,襄阳,襄阳,襄阳市,湖北省,112.1159833,32.01139396,直接匹配城市名,高,节点名称与城市点位表一致,1,1,荆门-襄阳成品油管道,S070,荆门
N125,许昌,许昌,许昌市,河南省,113.8418998,34.03900016,直接匹配城市名,高,节点名称与城市点位表一致,2,2,洛驻管道,S135；S136,漯河；郑州
N126,诸暨,诸暨,绍兴市,浙江省,120.5800044,30.05145821,别名映射至地级市,高,诸暨市映射至绍兴,1,1,浙赣成品油管道,S101,桐庐
N127,贵阳,贵阳,贵阳市,贵州省,106.6930042,26.73530793,直接匹配城市名,高,节点名称与城市点位表一致,3,3,西南成品油管网（北线）,S047；S048；S051,曲靖；柳州；简阳
N128,赣州,赣州,赣州市,江西省,114.9288134,25.83432314,直接匹配城市名,高,节点名称与城市点位表一致,1,1,九江-赣州成品油管道,S084,樟树
N129,辽河,辽河,盘锦市,辽宁省,122.1637099,40.71960167,别名映射至地级市,中,辽河节点按辽河油区映射至盘锦,2,2,抚顺-锦州-郑州成品油管道,S027；S028,辽阳；锦州
N130,辽阳,辽阳,辽阳市,辽宁省,123.2315378,41.26650675,直接匹配城市名,高,节点名称与城市点位表一致,2,2,抚顺-锦州-郑州成品油管道,S026；S027,抚顺；辽河
N131,邢台,邢台,邢台市,河北省,114.4967119,37.07003791,直接匹配城市名,高,节点名称与城市点位表一致,2,2,鲁皖二期管道（汤石支线）,S127；S128,石家庄；邯郸
N132,邯郸,邯郸,邯郸市,河北省,114.5356201,36.62685489,直接匹配城市名,高,节点名称与城市点位表一致,4,4,抚顺-锦州-郑州成品油管道；鲁皖二期管道（汤石支线）,S031；S032；S126；S127,保定；汤阴；邢台；郑州
N133,郑州,郑州,郑州市,河南省,113.6193176,34.74752068,直接匹配城市名,高,节点名称与城市点位表一致,6,6,兰郑长成品油管道；抚顺-锦州-郑州成品油管道；洛驻管道；鲁皖二期管道（汤郑支线）,S013；S014；S032；S125；S134；S135,咸阳；巩义；新乡；武汉；许昌；邯郸
N134,郴州,郴州,郴州市,湖南省,113.0099272,25.77315809,直接匹配城市名,高,节点名称与城市点位表一致,1,1,长岭-郴州成品油管道,S078,耒阳
N135,鄂尔多斯,鄂尔多斯,鄂尔多斯市,内蒙古自治区,109.7767426,39.60774057,直接匹配城市名,高,节点名称与城市点位表一致,1,1,呼和浩特-包头-鄂尔多斯成品油管道,S025,包头
N136,酒泉,酒泉,酒泉市,甘肃省,98.49115772,39.73039911,直接匹配城市名,高,节点名称与城市点位表一致,2,2,西部成品油管道,S003；S004,张掖；柳园
N137,重庆,重庆,重庆市,重庆市,106.5467371,29.56659842,直接匹配城市名,高,节点名称与城市点位表一致,2,2,兰成渝成品油管道；西南成品油管网（北线）,S035；S049,成都；江津
N138,钦州,钦州,钦州市,广西壮族自治区,108.6506176,21.98377513,直接匹配城市名,高,节点名称与城市点位表一致,1,1,钦南柳成品油管道,S043,南宁
N139,银川,银川,银川市,宁夏回族自治区,106.2305529,38.4866953,直接匹配城市名,高,节点名称与城市点位表一致,1,1,银巴线,S021,巴彦淖尔
N140,锦州,锦州,锦州市,辽宁省,121.1213238,41.09367767,直接匹配城市名,高,节点名称与城市点位表一致,2,2,抚顺-锦州-郑州成品油管道,S028；S029,固安；辽河
N141,长坡,长坡,昆明市,云南省,102.7432509,25.08100417,别名映射至地级市,中,云南长坡站按云南管网汇点映射至昆明,3,3,西南成品油管网（南线）,S054；S055；S057,南宁；大理；曲靖
N142,长岭,长岭,岳阳市,湖南省,113.260805,29.47623236,别名映射至地级市,高,长岭炼化/库站映射至岳阳,1,1,长岭-郴州成品油管道,S072,七里山
N143,长春,长春,长春市,吉林省,125.3184929,43.81369331,直接匹配城市名,高,节点名称与城市点位表一致,1,1,吉林石化-长春成品油管道,S033,吉林
N144,长沙,长沙,长沙市,湖南省,112.9334488,28.23178771,直接匹配城市名,高,节点名称与城市点位表一致,3,3,兰郑长成品油管道；长岭-郴州成品油管道,S015；S074；S075,武汉；汨罗；湘潭
N145,阜阳,阜阳,阜阳市,安徽省,115.8074841,32.89327954,直接匹配城市名,高,节点名称与城市点位表一致,2,2,安庆-亳州成品油管道,S088；S089,亳州；淮南
N146,阳泉,阳泉,阳泉市,山西省,113.5899658,37.84854586,直接匹配城市名,高,节点名称与城市点位表一致,2,2,石太管道,S130；S131,晋中；高庄
N147,青岛,青岛,青岛市,山东省,120.3775345,36.06661649,直接匹配城市名,高,节点名称与城市点位表一致,1,1,鲁皖二期管道（东线）,S119,潍坊
N148,驻马店,驻马店,驻马店市,河南省,114.0197418,33.00970244,直接匹配城市名,高,节点名称与城市点位表一致,2,2,洛驻管道；驻信管道,S137；S138,信阳；漯河
N149,高庄,高庄,石家庄市,河北省,114.5089353,38.04183339,别名映射至地级市,中,高庄节点按石太管道上下文映射至石家庄,2,2,石太管道,S129；S130,石家庄；阳泉
N150,黄埔,黄埔,广州市,广东省,113.2578297,23.1332448,别名映射至地级市,高,黄埔区映射至广州,2,2,珠三角成品油管网,S064；S065,南沙；惠州
