source_id,dataset,publisher,source_url,data_year,accessed_on,evidence_grade,local_path,origin_type,parent_source_ids,provenance_note,sha256,link_status,repository_source_id
V08-DEMAND-CONTRACT,Dynamic v0.8 scenario-sector demand contract,Project-local derived model output,derived://dynamic-demand-v08/scenario-demand-totals,2026,2026-07-31,D_model_proxy,historical://data-derived-dynamic_demand_v08-scenario_demand_totals.csv,derived,not_applicable,Frozen v0.8 demand-model output consumed read-only from CITY_TOPOLOGY_SOURCE_ROOT; no external publisher is asserted Historical metadata only: the original artifact is unavailable in the current public release and is not a reconstructive input.,not_applicable,historical_metadata_only,not_applicable
V08-PROVINCIAL-DEMAND-CONTRACT,Dynamic v0.8 province-sector demand contract,Project-local derived model output,derived://dynamic-pipeline-v08/demand-service,2026,2026-07-31,D_model_proxy,historical://data-derived-dynamic_pipeline_v08-demand_service.csv,derived,V08-DEMAND-CONTRACT,Frozen v0.8 province-sector demand rows consumed read-only from CITY_TOPOLOGY_SOURCE_ROOT; city allocation must preserve every province-sector cell and national component total Historical metadata only: the original artifact is unavailable in the current public release and is not a reconstructive input.,not_applicable,historical_metadata_only,not_applicable
V08-PROVINCIAL-SUPPLY,Dynamic v0.8 provincial supply service source,Project-local derived model output,derived://dynamic-pipeline-v08/supply-service,2026,2026-07-31,D_model_proxy,historical://data-derived-dynamic_pipeline_v08-supply_service.csv,derived,not_applicable,Frozen v0.8 provincial supply-model output consumed read-only from CITY_TOPOLOGY_SOURCE_ROOT; no external publisher is asserted Historical metadata only: the original artifact is unavailable in the current public release and is not a reconstructive input.,not_applicable,historical_metadata_only,not_applicable
GEO-2020-PFINAL-BAIDU,Prefecture-level label-point coordinates,PFInal city dataset using Baidu coordinate lookups,https://github.com/pfinal/city/blob/master/region.sql,2020,2026-07-31,D_model_proxy,external://github.com/pfinal/city/blob/master/region.sql,external,not_applicable,"Third-party Baidu bd09ll label points refreshed 2020-08-04 and deterministically converted BD-09LL to GCJ-02 then to WGS84 by bisection inverse; coordinate metadata only, not an official administrative source and never used to create connectivity.",not_applicable,external_only,not_applicable
MOT-2025-PORT-CROSSCITY-SPLIT,Deterministic city split of combined Ningbo-Zhoushan and Beibu Gulf port totals,Task 4 model decision documented against Ministry of Transport table,https://xxgk.mot.gov.cn/2020/jigou/zhghs/202601/t20260130_4199411.html,2025,2026-07-31,D_model_proxy,external://xxgk.mot.gov.cn/2020/jigou/zhghs/202601/t20260130_4199411.html,external,MOT-2025-PORT,"Equal city split used only where the national official table reports a combined cross-city port; high-priority spatial sensitivity, not an additional official observation.",not_applicable,external_only,not_applicable
MOT-2022-FREIGHT-HUBS,First batch of 15 national integrated freight-hub support cities,Ministry of Transport of the People's Republic of China,https://xxgk.mot.gov.cn/2020/jigou/zhghs/202308/t20230803_3880176.html,2022,2026-07-31,D_model_proxy,external://xxgk.mot.gov.cn/2020/jigou/zhghs/202308/t20230803_3880176.html,external,not_applicable,Official policy-support city list used as a binary logistics-hub proxy; it is not a city freight-volume table.,not_applicable,external_only,not_applicable
MOF-2023-FREIGHT-HUBS,2023 national integrated freight-hub support cities,Ministry of Finance of the People's Republic of China,https://jjs.mof.gov.cn/tongzhigonggao/202307/t20230713_3896257.htm,2023,2026-07-31,D_model_proxy,external://jjs.mof.gov.cn/tongzhigonggao/202307/t20230713_3896257.htm,external,not_applicable,Official policy-support city list expanded from named combination hubs to prefecture-level city accounts; not freight tonnage.,not_applicable,external_only,not_applicable
MOF-2024-FREIGHT-HUBS,2024 national integrated freight-hub support cities,Ministry of Finance of the People's Republic of China,https://jjs.mof.gov.cn/tongzhigonggao/202407/t20240731_3940818.htm,2024,2026-07-31,D_model_proxy,external://jjs.mof.gov.cn/tongzhigonggao/202407/t20240731_3940818.htm,external,not_applicable,Official policy-support city list expanded from named combination hubs to prefecture-level city accounts; not freight tonnage.,not_applicable,external_only,not_applicable
V08-DEMAND-COMPONENTS,Dynamic v0.8 scenario-sector component contract,Project-local derived model output,derived://dynamic-demand-v08/scenario-sector-components,2026,2026-07-31,D_model_proxy,historical://data-derived-dynamic_demand_v08-scenario_sector_components.csv,derived,V08-DEMAND-CONTRACT,Frozen 768-row sector component contract consumed read-only through CITY_TOPOLOGY_SOURCE_ROOT and never rescaled or reconstructed Historical metadata only: the original artifact is unavailable in the current public release and is not a reconstructive input.,not_applicable,historical_metadata_only,not_applicable
REFINERY-CITY-ASSIGN-V038,Frozen refinery-city to pipeline-node assignment,Project-local immutable baseline,project://submission-data-v038/aviation/refinery-city-assignment,2025,2026-07-31,D_model_proxy,historical://data-baseline-submission_data_v038-aviation-refinery_to_pipeline_node_assignment.csv,project,not_applicable,Frozen 24-city refinery inventory used only for the documented-refinery-count chemical infrastructure proxy; connector fields do not create city demand access Historical metadata only: the original artifact is unavailable in the current public release and is not a reconstructive input.,not_applicable,historical_metadata_only,not_applicable
V08-AVIATION-REFINERY-ASK,Frozen v0.8 airport-ASK to 24 refinery-city spatial weights,Project-local derived model output,derived://dynamic-pipeline-v08/aviation-refinery-city-ask,2025,2026-07-31,D_model_proxy,historical://data-derived-dynamic_pipeline_v08-demand_nodes.csv,derived,V08-DEMAND-COMPONENTS;REFINERY-CITY-ASSIGN-V038,Read-only v0.8 demand-node output used to retain the exact fixed 2025 ASK refinery-city spatial chain; nearest-city matching is not rerun Historical metadata only: the original artifact is unavailable in the current public release and is not a reconstructive input.,not_applicable,historical_metadata_only,not_applicable
XAM-GOLDWIND-EIA-2024,Goldwind Xingan phase-I 250-kt-per-year green-methanol project EIA,Xingan League Ecology and Environment Bureau,https://www.xam.gov.cn/xam/2024-10/23/53f645a46731400ba29abc841a729b80/2024102318520613517.pdf,2024,2026-07-31,B_official_local,external://www.xam.gov.cn/2024102318520613517.pdf,external,not_applicable,"Official EIA source for exact city-level location, phase-I capacity, and expected October 2025 production year; a planned year is not a guarantee of stable operation.",not_applicable,external_only,not_applicable
XAM-GOLDWIND-STATUS-2026,Current official Goldwind Xingan project status,Xingan League Administrative Office,https://www.xam.gov.cn/xam/2026-05/13/article_2026051319034781100.html,2026,2026-07-31,B_official_local,external://www.xam.gov.cn/article_2026051319034781100.html,external,XAM-GOLDWIND-EIA-2024,Current official planning source reports successful phase-I gasifier process validation; it does not establish guaranteed stable plant operation.,not_applicable,external_only,not_applicable
JL-LISHU-GM-2026,Lishu 197.2-kt-per-year green-methanol project construction announcement,Jilin Provincial People's Government,https://www.jl.gov.cn/szfzt/tzcj/tzdt/202607/t20260701_3646397.html,2026,2026-07-31,B_official_local,external://www.jl.gov.cn/t20260701_3646397.html,external,not_applicable,"Official provincial source states the Siping location, 197.2-kt annual green-methanol capacity, construction start, and planned 2027 commissioning; future completion is not guaranteed.",not_applicable,external_only,not_applicable
SH-HUAYI-GM-OPERATION-2026,Shanghai Huayi 100-kt-per-year green-methanol project commissioning report,Shanghai State-owned Assets Supervision and Administration Commission,https://www.gzw.sh.gov.cn/shgzw_zxzx_gqdt/20260104/76c99cd5cd80421c93e60550d8c0991a.html,2026,2026-07-31,B_official_local,external://www.gzw.sh.gov.cn/76c99cd5cd80421c93e60550d8c0991a.html,external,not_applicable,Official municipal source reports the 100-kt project was built and commissioned in 2025; retained in the audit but excluded from formal expansion because frozen v0.8 Shanghai supply is zero in every case.,not_applicable,external_only,not_applicable
CITY-SUPPLY-PROXY-NEUTRAL-V01,Neutral equal frozen-city-account supply proxy,Project-local model decision,project://city-topology-v01/neutral-equal-city-account-proxy,2024,2026-07-31,D_model_proxy,data/raw/city_topology_v01/city_proxy_supply_weights.csv,model,ADMIN-2024-MCA,"Provisional equal allocation across every frozen city account within each province; no city-level renewable, industrial, water, GDP, or population evidence is used; high-priority sensitivity baseline and not project evidence Current public carrier: city-proxy-supply-weights-v01.",3378ecf802073ff4483ef72c04fc39d0b3599867f1ba294b37ac1f76950dcbb5,direct_public_carrier,city-proxy-supply-weights-v01
CITY-SUPPLY-PROJECT-AUDIT-V01,Non-exhaustive v0.8-compatible city project audit,Project-local audited baseline,project://city-topology-v01/city-project-audit,2026,2026-07-31,D_model_proxy,data/raw/city_topology_v01/green_methanol_projects_city.csv,model,XAM-GOLDWIND-EIA-2024;XAM-GOLDWIND-STATUS-2026;JL-LISHU-GM-2026;SH-HUAYI-GM-OPERATION-2026,Frozen three-row audit input: two v0.8-compatible formal project announcements and one retained Shanghai zero-supply conflict; dataset scope is non-exhaustive and does not guarantee operation Current public carrier: green-methanol-projects-city-v01.,acad33a5bd71c667d187b4212a6ca96c1e5a9882bddb76b2b6134085d251e80c,direct_public_carrier,green-methanol-projects-city-v01
LEGACY-STAGE19-21-FLOW-MODEL,Frozen legacy two-stage flow scale capacity bands and edge-cost functions,Project-local legacy model,project://legacy/scripts/recompute_methanol_pipeline_stage19_21.py,2026,2026-07-31,D_model_proxy,historical://scripts-recompute_methanol_pipeline_stage19_21.py,legacy,not_applicable,Exact legacy script dynamically imported after SHA-256 verification; Task 6 reuses FLOW_SCALE conversions capacity_bands and edge_base_unit_cost without copying model constants Historical metadata only: the original artifact is unavailable in the current public release and is not a reconstructive input.,not_applicable,historical_metadata_only,not_applicable
LEGACY-SEGMENT-YEAR-TRANSPORT-TASK,Frozen individual-segment year transport-task input,Project-local legacy model,source-id:pipeline-segment-transport-task-v01,2026,2026-07-31,D_model_proxy,data/raw/pipeline/segment_transport_task_pipeline_adjusted_long.csv,legacy,PIPELINE-SEGMENTS-V01,Exact 140-segment by eight-model-year legacy transport-task table used to derive individual spare capacity; missing design capacities remain explicit and are not interpreted as verified zero capacity Current public carrier: pipeline-segment-transport-task-v01.,8d603eab33bd48fbb058431ecf7b9d2a395db0c978d68658b7d5fa390415ea8f,direct_public_carrier,pipeline-segment-transport-task-v01
